[Header]	
System	TOC-L_ASI_EXSPGDSBL	
S/W Version	1.00	
User		
Date/Time	8/11/2021 12:45:02 PM	
Comments		

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 11:56:21 AM	1	1	NPOC	1.211	0.9473	0.5916	0.2943	NPOC:0.2943mg/L	NPOC:0.2943mg/L	*******	0.3730	39.38	0.4205	142.89	1	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 11:58:28 AM	1	2	NPOC	0.6835	0.9473	-0.00305	0.2943	NPOC:0.2943mg/L	NPOC:0.2943mg/L	*******	0.3730	39.38	0.4205	142.89	1	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:08:41 PM	1	1	NPOC	0.6314	0.6724	-0.06178	-0.01556	NPOC:-0.01556mg/L	NPOC:-0.01556mg/L	*******	0.05798	8.62	0.06537	-420.09	2	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:10:48 PM	1	2	NPOC	0.7134	0.6724	0.03066	-0.01556	NPOC:-0.01556mg/L	NPOC:-0.01556mg/L	*******	0.05798	8.62	0.06537	-420.09	2	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:21:01 PM	1	1	NPOC	0.3155	0.2843	-0.4179	-0.4530	NPOC:-0.4530mg/L	NPOC:-0.4530mg/L	*******	0.04405	15.49	0.04966	-10.96	3	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:23:08 PM	1	2	NPOC	0.2532	0.2843	-0.4882	-0.4530	NPOC:-0.4530mg/L	NPOC:-0.4530mg/L	*******	0.04405	15.49	0.04966	-10.96	3	0	150	10.00	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:32:48 PM	1	1	NPOC	0.6465	0.5905	0.000	 	 	 	*******	0.07927	13.42	0.000	0.00	9	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:34:55 PM	1	2	NPOC	0.5344	0.5905	0.000	 	 	 	*******	0.07927	13.42	0.000	0.00	9	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:45:45 PM	2	1	NPOC	9.474	9.509	1.000	 	 	 	*******	0.05020	0.53	0.000	0.00	5	0	150	5.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:48:10 PM	2	2	NPOC	9.545	9.509	1.000	 	 	 	*******	0.05020	0.53	0.000	0.00	5	0	150	5.000	
